"Inc_ID","UOF","Date","Beat","Cad","Inc_RD","longitude","latitude","Incident_ID","Force_Type","Force_Type_Level"
7326,"13F-0468","7/4/2013",13,1191,"13-034101",-122.201048,37.820164,7326,22,4
7327,"13F-0467","7/5/2013",32,798,"13-034243",-122.1532751,37.7519513,7327,22,4
7327,"13F-0467","7/5/2013",32,798,"13-034243",-122.1532751,37.7519513,7327,22,4
7328,"13F-0470","7/6/2013",15,294,"13-034339",-122.250763,37.804968,7328,22,4
7329,"13F-0472","7/6/2013",27,388,"13-034341",-122.2107886,37.7742205,7329,22,4
7329,"13F-0472","7/6/2013",27,388,"13-034341",-122.2107886,37.7742205,7329,22,4
7329,"13F-0472","7/6/2013",27,388,"13-034341",-122.2107886,37.7742205,7329,22,4
7329,"13F-0472","7/6/2013",27,388,"13-034341",-122.2107886,37.7742205,7329,22,4
7330,"13F-0471","7/6/2013",35,522,"13-034332",-122.165396,37.761341,7330,22,4
7331,"13F-0477","7/6/2013",30,816,"13-034164",-122.165663,37.77504,7331,22,4
7331,"13F-0477","7/6/2013",30,816,"13-034164",-122.165663,37.77504,7331,22,4
7331,"13F-0477","7/6/2013",30,816,"13-034164",-122.165663,37.77504,7331,22,4
7331,"13F-0477","7/6/2013",30,816,"13-034164",-122.165663,37.77504,7331,22,4
7331,"13F-0477","7/6/2013",30,816,"13-034164",-122.165663,37.77504,7331,22,4
7332,"13F-0475","7/7/2013",30,402,"13-034080",-122.1790334,37.7680598,7332,22,4
7332,"13F-0475","7/7/2013",30,402,"13-034080",-122.1790334,37.7680598,7332,22,4
7332,"13F-0475","7/7/2013",30,402,"13-034080",-122.1790334,37.7680598,7332,22,4
7333,"13F-0446","7/8/2013",21,61,"13-034570",-122.230839,37.7878029,7333,2,1
7333,"13F-0446","7/8/2013",21,61,"13-034570",-122.230839,37.7878029,7333,2,1
7333,"13F-0446","7/8/2013",21,61,"13-034570",-122.230839,37.7878029,7333,2,1
7334,"13F-0480","7/8/2013",35,424,"13-034635",-122.165808,37.757738,7334,22,4
7334,"13F-0480","7/8/2013",35,424,"13-034635",-122.165808,37.757738,7334,"26-18",4
7334,"13F-0480","7/8/2013",35,424,"13-034635",-122.165808,37.757738,7334,22,4
7335,"13F-0465","7/8/2013",19,678,"13-034665",-122.237274,37.788328,7335,22,4
7335,"13F-0465","7/8/2013",19,678,"13-034665",-122.237274,37.788328,7335,22,4
7335,"13F-0465","7/8/2013",19,678,"13-034665",-122.237274,37.788328,7335,22,4
7335,"13F-0465","7/8/2013",19,678,"13-034665",-122.237274,37.788328,7335,22,4
7336,"13F-0464","7/9/2013",32,649,"13-028261",-122.1551455,37.7450993,7336,22,4
7337,"13F-0478","7/9/2013",5,897,"13-034891",-122.278661,37.8144453,7337,22,4
7338,"13F-0466","7/9/2013",32,909,"13-034898",-122.1666502,37.7426928,7338,22,4
7339,"13F-0482","7/9/2013",34,1016,"13-034910",-122.1720074,37.7590823,7339,22,4
7339,"13F-0482","7/9/2013",34,1016,"13-034910",-122.1720074,37.7590823,7339,22,4
7339,"13F-0482","7/9/2013",34,1016,"13-034910",-122.1720074,37.7590823,7339,22,4
7339,"13F-0482","7/9/2013",34,1016,"13-034910",-122.1720074,37.7590823,7339,22,4
7340,"13F-0483","7/10/2013",26,272,"13-034991",-122.206678,37.768821,7340,22,4
7341,"13F-0493","7/10/2013",6,540,"13-035049",-122.285504,37.823968,7341,22,4
7342,"13F-0463","7/11/2013",30,483,"13-035201",-122.1664756,37.7667504,7342,22,4
7342,"13F-0463","7/11/2013",30,483,"13-035201",-122.1664756,37.7667504,7342,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7343,"13F-0498","7/11/2013",35,989,"13-035284",-122.1635861,37.7633924,7343,22,4
7344,"13F-0486","7/12/2013",8,801,"13-035459",-122.2507533,37.8119549,7344,22,4
7345,"13F-0481","7/13/2013",2,858,"13-035626",-122.2874059,37.801323,7345,22,4
7345,"13F-0481","7/13/2013",2,858,"13-035626",-122.2874059,37.801323,7345,22,4
7346,"13F-0479","7/14/2013",20,217,"13-035656",-122.2336668,37.7820628,7346,22,4
7346,"13F-0479","7/14/2013",20,217,"13-035656",-122.2336668,37.7820628,7346,22,4
7347,"13F-0513","7/14/2013",31,728,"13-035748",-122.1922362,37.7299568,7347,18,3
7348,"13F-0497","7/15/2013",27,457,"13-035864",-122.2070462,37.7717953,7348,22,4
7348,"13F-0497","7/15/2013",27,457,"13-035864",-122.2070462,37.7717953,7348,22,4
7349,"13F-0495","7/15/2013",32,701,"13-035903",-122.1691236,37.7418739,7349,22,4
7349,"13F-0495","7/15/2013",32,701,"13-035903",-122.1691236,37.7418739,7349,22,4
7350,"13F-0490","7/15/2013",3,26,"13-035960",-122.2733594,37.8007304,7350,"26-16",4
7350,"13F-0490","7/15/2013",3,26,"13-035960",-122.2733594,37.8007304,7350,"26-16",4
7351,"13F-0488","7/15/2013",16,653,"13-035950",-122.2711137,37.8043637,7351,"26-16",4
7352,"13F-0489","7/15/2013",4,653,"13-035931",-122.270001,37.8055388,7352,"26-16",4
7353,"13F-0487","7/15/2013",4,653,"13-035931",-122.270001,37.8055388,7353,"26-16",4
7354,"13F-0492","7/15/2013",4,653,"13-035958",-122.270001,37.8055388,7354,"26-16",4
7354,"13F-0492","7/15/2013",4,653,"13-035958",-122.270001,37.8055388,7354,"26-16",4
7355,"13F-0514","7/15/2013",4,653,"13-035931",-122.2644947,37.8290174,7355,17,3
7356,"13F-0491","7/15/2013",4,653,"13-035959",-122.270001,37.8055388,7356,25,4
7356,"13F-0491","7/15/2013",4,653,"13-035959",-122.270001,37.8055388,7356,"26-16",4
7357,"13F-0496","7/16/2013",32,69,"13-035970",-122.154225,37.745707,7357,22,4
7357,"13F-0496","7/16/2013",32,69,"13-035970",-122.154225,37.745707,7357,22,4
7358,"13F-0499","7/16/2013",30,174,"13-035987",-122.171235,37.760339,7358,22,4
7358,"13F-0499","7/16/2013",30,174,"13-035987",-122.171235,37.760339,7358,22,4
7359,"13F-0510","7/17/2013",7,261,"13-036171",-122.2795039,37.8292018,7359,22,4
7360,"13F-0505","7/18/2013",9,40,"13-036328",-122.2538265,37.8275595,7360,22,4
7360,"13F-0505","7/18/2013",9,40,"13-036328",-122.2538265,37.8275595,7360,22,4
7360,"13F-0505","7/18/2013",9,40,"13-036328",-122.2538265,37.8275595,7360,22,4
7361,"13F-0515","7/18/2013",14,239,"13-036357",-122.2691717,37.8163252,7361,9,2
7362,"13F-0500","7/18/2013",4,447,"13-036417",-122.2676028,37.8029283,7362,25,4
7363,"13F-0520","7/18/2013",21,763,"13-036469",-122.2290462,37.7793525,7363,22,4
7363,"13F-0520","7/18/2013",21,763,"13-036469",-122.2290462,37.7793525,7363,"26-16",4
7364,"13F-0516","7/19/2013",8,414,"13-036610",-122.2620581,37.8237983,7364,11,3
7364,"13F-0516","7/19/2013",8,414,"13-036610",-122.2620581,37.8237983,7364,22,4
7364,"13F-0516","7/19/2013",8,414,"13-036610",-122.2620581,37.8237983,7364,22,4
7364,"13F-0516","7/19/2013",8,414,"13-036610",-122.2620581,37.8237983,7364,25,4
7365,"13F-0502","7/21/2013",35,201,"13-036921",-122.135761,37.748479,7365,25,4
7366,"13F-0501","7/21/2013",24,584,"13-036971",-122.206886,37.790341,7366,25,4
7367,"13F-0503","7/22/2013",3,19,"13-037017",-122.2771593,37.8016809,7367,22,4
7367,"13F-0503","7/22/2013",3,19,"13-037017",-122.2771593,37.8016809,7367,22,4
7368,"13F-0512","7/22/2013",4,800,"13-037180",-122.2693875,37.810337,7368,25,4
7369,"13F-0504","7/22/2013",27,784,"13-037181",-122.203009,37.7774969,7369,22,4
7369,"13F-0504","7/22/2013",27,784,"13-037181",-122.203009,37.7774969,7369,22,4
7370,"13F-0511","7/22/2013",2,817,"13-037182",-122.2849546,37.8032456,7370,22,4
7371,"13F-0509","7/23/2013",30,4,"13-037228",-122.1812049,37.7568624,7371,22,4
7371,"13F-0509","7/23/2013",30,4,"13-037228",-122.1812049,37.7568624,7371,22,4
7372,"13F-0508","7/24/2013",30,470,"13-037530",-122.2711137,37.8043637,7372,22,4
7372,"13F-0508","7/24/2013",30,470,"13-037530",-122.2711137,37.8043637,7372,22,4
7372,"13F-0508","7/24/2013",30,470,"13-037530",-122.2711137,37.8043637,7372,22,4
7372,"13F-0508","7/24/2013",30,470,"13-037530",-122.2711137,37.8043637,7372,22,4
7373,"13F-0521","7/24/2013",20,652,"13-037447",-122.2711137,37.8043637,7373,22,4
7373,"13F-0521","7/24/2013",20,652,"13-037447",-122.2711137,37.8043637,7373,22,4
7373,"13F-0521","7/24/2013",20,652,"13-037447",-122.2711137,37.8043637,7373,22,4
7373,"13F-0521","7/24/2013",20,652,"13-037447",-122.2711137,37.8043637,7373,22,4
7374,"13F-0522","7/24/2013",7,725,"13-037577",-122.281726,37.823696,7374,"26-16",4
7374,"13F-0522","7/24/2013",7,725,"13-037577",-122.281726,37.823696,7374,"26-16",4
7375,"13F-0526","7/24/2013",19,943,"13-037617",-122.2582747,37.7965979,7375,22,4
7376,"13F-0545","7/25/2013","",81,"13-037646",-122.1625798,37.7171082,7376,22,4
7377,"13F-0507","7/25/2013",24,500,"13-037730",-122.2186916,37.7808411,7377,22,4
7377,"13F-0507","7/25/2013",24,500,"13-037730",-122.2186916,37.7808411,7377,22,4
7377,"13F-0507","7/25/2013",24,500,"13-037730",-122.2186916,37.7808411,7377,22,4
7378,"13F-0517","7/25/2013",3,1079,"13-037815",-122.2730791,37.7965071,7378,16,3
7379,"13F-0506","7/26/2013",31,92,"13-037824",-122.1953268,37.7448147,7379,22,4
7379,"13F-0506","7/26/2013",31,92,"13-037824",-122.1953268,37.7448147,7379,22,4
7379,"13F-0506","7/26/2013",31,92,"13-037824",-122.1953268,37.7448147,7379,22,4
7379,"13F-0506","7/26/2013",31,92,"13-037824",-122.1953268,37.7448147,7379,22,4
7379,"13F-0506","7/26/2013",31,92,"13-037824",-122.1953268,37.7448147,7379,22,4
7380,"13F-0519","7/26/2013",19,617,"13-037914",-122.2389455,37.7799924,7380,22,4
7380,"13F-0519","7/26/2013",19,617,"13-037914",-122.2389455,37.7799924,7380,22,4
7380,"13F-0519","7/26/2013",19,617,"13-037914",-122.2389455,37.7799924,7380,22,4
7381,"13F-0530","7/26/2013",30,42,"13-037830",-122.1843602,37.7592479,7381,22,4
7381,"13F-0530","7/26/2013",30,42,"13-037830",-122.1843602,37.7592479,7381,22,4
7382,"13F-0528","7/26/2013",4,763,"13-037937",-122.2645621,37.8060524,7382,"26-16",4
7383,"13F-0525","7/26/2013",4,795,"13-037943",-122.2672768,37.8034791,7383,22,4
7383,"13F-0525","7/26/2013",4,795,"13-037943",-122.2672768,37.8034791,7383,"26-16",4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,22,4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,11,3
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,22,4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,22,4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,22,4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,22,4
7384,"13F-0518","7/27/2013",26,87,"13-038007",-122.1906018,37.7595981,7384,11,3
7385,"13F-0523","7/27/2013",5,271,"13-037948",-122.1760292,37.7713453,7385,22,4
7385,"13F-0523","7/27/2013",5,271,"13-037948",-122.1760292,37.7713453,7385,22,4
7386,"13F-0524","7/27/2013",19,580,"13-038077",-122.2455325,37.7894745,7386,23,4
7387,"13F-0529","7/28/2013",19,495,"13-038199",-122.2409662,37.7864372,7387,22,4
7388,"13F-0539","7/29/2013",13,445,"13-038358",-122.214071,37.8422222,7388,22,4
7388,"13F-0539","7/29/2013",13,445,"13-038358",-122.214071,37.8422222,7388,22,4
7389,"13F-0533","7/30/2013",33,34,"13-038463",-122.1829955,37.747704,7389,22,4
7389,"13F-0533","7/30/2013",33,34,"13-038463",-122.1829955,37.747704,7389,22,4
7389,"13F-0533","7/30/2013",33,34,"13-038463",-122.1829955,37.747704,7389,22,4
7390,"13F-0535","7/30/2013",6,195,"13-036102",-122.2748724,37.8157788,7390,22,4
7391,"13F-0536","7/30/2013",21,211,"13-038497",-122.220505,37.795011,7391,"26-16",4
7392,"13F-0531","7/31/2013",26,295,"13-038727",-122.218105,37.767121,7392,"26-16",4
7393,"13F-0532","7/31/2013",27,619,"13-038802",-122.194651,37.770035,7393,22,4
7394,"13F-0534","7/31/2013",20,869,"13-038837",-122.2343301,37.7850284,7394,23,4
